Separation, RMSE, NMSE, prob
2, 3.6988551328020707, -0.13484696883819797, 0.875
4, 2.033753870802664, -3.9412708033253856, 0.9865
6, 0.3335429260667182, -22.81055465651923, 1.0
8, 0.6160601628508618, -19.800617582720335, 1.0
10, 0.3696971781747517, -26.066400109529482, 1.0
12, 0.40160468479519335, -26.85886805629648, 1.0
14, 0.3503272523346193, -29.33274258772221, 1.0
16, 0.19279571184051814, -35.641417707435956, 1.0
18, 0.2672760241405588, -33.79710575486914, 1.0
20, 0.14267944966774, -40.1401315338577, 1.0
22, 0.17480072630518545, -39.18462988400322, 1.0
24, 0.20401567070402796, -38.58155961233902, 1.0
26, 0.2928564853998366, -36.12306640793853, 1.0
28, 0.26252474712252705, -37.704528763530554, 1.0
30, 0.33113112316119475, -36.27686377399665, 1.0
32, 0.24991971055080536, -39.27238487301936, 1.0
34, 0.23557593643971408, -40.30437551754985, 1.0
36, 0.3073986733988756, -38.48233244157346, 1.0
38, 0.21410502271766144, -42.08710995202609, 1.0
40, 0.4490043802354167, -36.09445083542343, 1.0
