SNR, RMSE, NMSE, prob
-12, 3.6855196821606273, -11.682496201161058, 0.8868181818181818
-11, 2.451087162927135, -15.225295775708673, 0.9595454545454546
-10, 1.414734034020718, -19.998974860787506, 0.9936363636363637
-9, 1.129426211063306, -21.955313660805018, 0.9981818181818182
-8, 0.8211935911688196, -24.723559870012576, 1.0
-7, 0.695581639923932, -26.165508687921132, 1.0
-6, 0.6103698581074269, -27.30060931611035, 1.0
-5, 0.5195172267790802, -28.70047182866708, 1.0
-4, 0.46291693224913827, -29.702409569683304, 1.0
-3, 0.4268599653466322, -30.406762378790276, 1.0
-2, 0.3744103756968769, -31.54551338139381, 1.0
-1, 0.3535543150860211, -32.04334805766197, 1.0
0, 0.3294970255904092, -32.65544093488891, 1.0
1, 0.31079508209498774, -33.16298812927536, 1.0
2, 0.2913036515951398, -33.72555231905811, 1.0
3, 0.28047360213781763, -34.0546310402452, 1.0
4, 0.27114196858620343, -34.34853600035973, 1.0
5, 0.26493021817256557, -34.549840948134715, 1.0
6, 0.2572677802048764, -34.8047629073117, 1.0
7, 0.25179308781697296, -34.99159480659343, 1.0
8, 0.24625888779229033, -35.1846326183972, 1.0
9, 0.24263355958078775, -35.313453508533755, 1.0
10, 0.23878132516487052, -35.45246373674701, 1.0
11, 0.23607150198796784, -35.55159961804633, 1.0
12, 0.23240849126309812, -35.687431066826115, 1.0
